1 0 4134
5 4134 8814
7 12948 241
8 13189 3282
10 16471 2745
12 19216 4308
20 23524 4873
22 28397 7383
23 35780 300
30 36080 10465
31 46545 2318
38 48863 10131
39 58994 11125
40 70119 13453
41 83572 248
42 83820 248
44 84068 237
46 84305 230
47 84535 239
49 84774 228
50 85002 242
54 85244 272
59 85516 263
61 85779 6473
62 92252 14287
63 106539 14159
64 120698 790
65 121488 454
66 121942 298
68 122240 18609
72 140849 8842
73 149691 7147
74 156838 13989
81 170827 17980
82 188807 4458
83 193265 11827
91 205092 29565
93 234657 8048
96 242705 3933
97 246638 5044
98 251682 2247
104 253929 4247
105 258176 2807
106 260983 8382
107 269365 11143
109 280508 1197
110 281705 5644
111 287349 4147
112 291496 5178
114 296674 5517
115 302191 5418
116 307609 17794
118 325403 3369
122 328772 5217
127 333989 9235
129 343224 2254
132 345478 6977
135 352455 7377
136 359832 12591
139 372423 10035
144 382458 8752
145 391210 5355
147 396565 1429
150 397994 1496
154 399490 3522
159 403012 24375
161 427387 2943
164 430330 17662
170 447992 4340
171 452332 6780
173 459112 3194
174 462306 2551
175 464857 1582
176 466439 4016
177 470455 3256
178 473711 3844
180 477555 28742
182 506297 6266
183 512563 1761
184 514324 1796
185 516120 1540
186 517660 1221
187 518881 817
188 519698 1405
189 521103 825
191 521928 813
193 522741 1421
194 524162 1429
195 525591 1533
197 527124 870
200 527994 1496
204 529490 862
209 530352 811
230 531163 1427
246 532590 825
247 533415 2065
248 535480 892
253 536372 2004
256 538376 2386
257 540762 1680
258 542442 1671
262 544113 3556
265 547669 3628
267 551297 4697
268 555994 287
269 556281 276
270 556557 287
271 556844 300
272 557144 286
273 557430 304
276 557734 5952
277 563686 8264
278 571950 26665
279 598615 12004
280 610619 15358
283 625977 4947
284 630924 15285
285 646209 23275
296 669484 16353
298 685837 2307
299 688144 4280
300 692424 8600
301 701024 12563
302 713587 3003
303 716590 9137
304 725727 4454
306 730181 10186
307 740367 5416
308 745783 1955
309 747738 6970
310 754708 6437
311 761145 3941
312 765086 7840
313 772926 14081
314 787007 4548
315 791555 5636
316 797191 2121
317 799312 4164
318 803476 3893
320 807369 3126
321 810495 9384
323 819879 2881
324 822760 2377
325 825137 9633
326 834770 4697
327 839467 6058
328 845525 7129
329 852654 5263
330 857917 3590
331 861507 3727
332 865234 17359
334 882593 4424
336 887017 2491
338 889508 3572
340 893080 16100
341 909180 2569
342 911749 3201
343 914950 5181
345 920131 7043
346 927174 8779
347 935953 21614
348 957567 17847
349 975414 5377
350 980791 5079
351 985870 3952
352 989822 7025
353 996847 5856
354 1002703 2691
355 1005394 5036
356 1010430 10046
357 1020476 4486
359 1024962 8053
360 1033015 5594
361 1038609 2394
362 1041003 4457
363 1045460 8175
364 1053635 3919
365 1057554 11529
366 1069083 8876
367 1077959 3937
368 1081896 1897
369 1083793 3980
370 1087773 4392
372 1092165 5493
373 1097658 15790
374 1113448 31763
375 1145211 11792
377 1157003 3531
378 1160534 2190
379 1162724 4104
380 1166828 3567
381 1170395 2478
382 1172873 9566
383 1182439 2618
385 1185057 4140
387 1189197 2893
388 1192090 13616
389 1205706 3383
390 1209089 974
393 1210063 3239
394 1213302 9876
395 1223178 7690
396 1230868 207
397 1231075 212
398 1231287 204
399 1231491 217
400 1231708 231
402 1231939 209
403 1232148 231
404 1232379 217
